case,Last_Event,First_Event,Case_Duration,Variants,Case_Duration in minutes
1,End,Register,1359.0,1,22.65
2,End,Register,1384.0,1,23.07
5,End,Register,1206.0,1,20.1
7,End,Register,1283.0,1,21.38
8,End,Register,1110.0,1,18.5
11,End,Register,1293.0,1,21.55
14,End,Register,1070.0,1,17.83
15,End,Register,1096.0,1,18.27
17,End,Register,1375.0,1,22.92
18,End,Register,1135.0,1,18.92
21,End,Register,1513.0,1,25.22
23,End,Register,1279.0,1,21.32
27,End,Register,1469.0,1,24.48
28,End,Register,1236.0,1,20.6
29,End,Register,1342.0,1,22.37
30,End,Register,1271.0,1,21.18
31,End,Register,1200.0,1,20.0
32,End,Register,1664.0,1,27.73
33,End,Register,1179.0,1,19.65
34,End,Register,1308.0,1,21.8
36,End,Register,1199.0,1,19.98
37,End,Register,1154.0,1,19.23
38,End,Register,1225.0,1,20.42
39,End,Register,1083.0,1,18.05
40,End,Register,1365.0,1,22.75
41,End,Register,1173.0,1,19.55
44,End,Register,1223.0,1,20.38
47,End,Register,1264.0,1,21.07
49,End,Register,1400.0,1,23.33
50,End,Register,1358.0,1,22.63
52,End,Register,1170.0,1,19.5
53,End,Register,1262.0,1,21.03
57,End,Register,1315.0,1,21.92
58,End,Register,1301.0,1,21.68
59,End,Register,1384.0,1,23.07
61,End,Register,1294.0,1,21.57
62,End,Register,1398.0,1,23.3
65,End,Register,1399.0,1,23.32
68,End,Register,1027.0,1,17.12
70,End,Register,1239.0,1,20.65
72,End,Register,1087.0,1,18.12
73,End,Register,1175.0,1,19.58
76,End,Register,1303.0,1,21.72
77,End,Register,1242.0,1,20.7
83,End,Register,1285.0,1,21.42
88,End,Register,1296.0,1,21.6
91,End,Register,1384.0,1,23.07
92,End,Register,1266.0,1,21.1
94,End,Register,1234.0,1,20.57
96,End,Register,1495.0,1,24.92
98,End,Register,1322.0,1,22.03
99,End,Register,1032.0,1,17.2
100,End,Register,1344.0,1,22.4
102,End,Register,1161.0,1,19.35
103,End,Register,1026.0,1,17.1
105,End,Register,1197.0,1,19.95
106,End,Register,1251.0,1,20.85
108,End,Register,1332.0,1,22.2
109,End,Register,1107.0,1,18.45
110,End,Register,1228.0,1,20.47
112,End,Register,1254.0,1,20.9
113,End,Register,1041.0,1,17.35
118,End,Register,1276.0,1,21.27
119,End,Register,1485.0,1,24.75
120,End,Register,1373.0,1,22.88
121,End,Register,1381.0,1,23.02
122,End,Register,1337.0,1,22.28
125,End,Register,1325.0,1,22.08
126,End,Register,1165.0,1,19.42
129,End,Register,1326.0,1,22.1
130,End,Register,1256.0,1,20.93
131,End,Register,1186.0,1,19.77
132,End,Register,1329.0,1,22.15
133,End,Register,1443.0,1,24.05
136,End,Register,1380.0,1,23.0
137,End,Register,1446.0,1,24.1
138,End,Register,1242.0,1,20.7
139,End,Register,1258.0,1,20.97
140,End,Register,1079.0,1,17.98
141,End,Register,1190.0,1,19.83
142,End,Register,1271.0,1,21.18
144,End,Register,1205.0,1,20.08
145,End,Register,1343.0,1,22.38
146,End,Register,1134.0,1,18.9
147,End,Register,1244.0,1,20.73
148,End,Register,1483.0,1,24.72
152,End,Register,1334.0,1,22.23
154,End,Register,1305.0,1,21.75
157,End,Register,1118.0,1,18.63
160,End,Register,1308.0,1,21.8
161,End,Register,1293.0,1,21.55
162,End,Register,1132.0,1,18.87
163,End,Register,1320.0,1,22.0
164,End,Register,1486.0,1,24.77
165,End,Register,1141.0,1,19.02
166,End,Register,1293.0,1,21.55
167,End,Register,1470.0,1,24.5
168,End,Register,1233.0,1,20.55
170,End,Register,1327.0,1,22.12
174,End,Register,1328.0,1,22.13
178,End,Register,1115.0,1,18.58
179,End,Register,1118.0,1,18.63
180,End,Register,1281.0,1,21.35
182,End,Register,1477.0,1,24.62
183,End,Register,1127.0,1,18.78
185,End,Register,1448.0,1,24.13
187,End,Register,1187.0,1,19.78
189,End,Register,1196.0,1,19.93
192,End,Register,1245.0,1,20.75
195,End,Register,1269.0,1,21.15
197,End,Register,1282.0,1,21.37
199,End,Register,1378.0,1,22.97
202,End,Register,1421.0,1,23.68
205,End,Register,1238.0,1,20.63
206,End,Register,1292.0,1,21.53
208,End,Register,1216.0,1,20.27
213,End,Register,1135.0,1,18.92
218,End,Register,1397.0,1,23.28
220,End,Register,1322.0,1,22.03
222,End,Register,1193.0,1,19.88
225,End,Register,1229.0,1,20.48
226,End,Register,1198.0,1,19.97
233,End,Register,1106.0,1,18.43
234,End,Register,1242.0,1,20.7
235,End,Register,1294.0,1,21.57
236,End,Register,1142.0,1,19.03
237,End,Register,1277.0,1,21.28
239,End,Register,1398.0,1,23.3
240,End,Register,1317.0,1,21.95
243,End,Register,1219.0,1,20.32
244,End,Register,1437.0,1,23.95
245,End,Register,1371.0,1,22.85
246,End,Register,1330.0,1,22.17
247,End,Register,1269.0,1,21.15
249,End,Register,1252.0,1,20.87
252,End,Register,1192.0,1,19.87
258,End,Register,1020.0,1,17.0
259,End,Register,1168.0,1,19.47
260,End,Register,1099.0,1,18.32
262,End,Register,1086.0,1,18.1
263,End,Register,1341.0,1,22.35
265,End,Register,952.0,1,15.87
266,End,Register,1315.0,1,21.92
267,End,Register,1182.0,1,19.7
268,End,Register,1082.0,1,18.03
269,End,Register,1294.0,1,21.57
271,End,Register,1407.0,1,23.45
276,End,Register,1404.0,1,23.4
280,End,Register,1294.0,1,21.57
282,End,Register,1326.0,1,22.1
283,End,Register,1492.0,1,24.87
284,End,Register,1118.0,1,18.63
287,End,Register,1372.0,1,22.87
288,End,Register,1347.0,1,22.45
289,End,Register,1202.0,1,20.03
291,End,Register,1256.0,1,20.93
292,End,Register,1175.0,1,19.58
296,End,Register,1280.0,1,21.33
298,End,Register,1252.0,1,20.87
299,End,Register,1396.0,1,23.27
302,End,Register,1217.0,1,20.28
304,End,Register,1217.0,1,20.28
305,End,Register,1058.0,1,17.63
306,End,Register,1289.0,1,21.48
307,End,Register,1202.0,1,20.03
308,End,Register,1437.0,1,23.95
310,End,Register,956.0,1,15.93
312,End,Register,1257.0,1,20.95
313,End,Register,1207.0,1,20.12
314,End,Register,1271.0,1,21.18
317,End,Register,1233.0,1,20.55
321,End,Register,1191.0,1,19.85
322,End,Register,1554.0,1,25.9
323,End,Register,1450.0,1,24.17
324,End,Register,1194.0,1,19.9
325,End,Register,1120.0,1,18.67
327,End,Register,1180.0,1,19.67
332,End,Register,1156.0,1,19.27
335,End,Register,1386.0,1,23.1
336,End,Register,1406.0,1,23.43
338,End,Register,1234.0,1,20.57
340,End,Register,1312.0,1,21.87
345,End,Register,1269.0,1,21.15
347,End,Register,1166.0,1,19.43
348,End,Register,1226.0,1,20.43
349,End,Register,1313.0,1,21.88
351,End,Register,1265.0,1,21.08
352,End,Register,1181.0,1,19.68
355,End,Register,1177.0,1,19.62
359,End,Register,1160.0,1,19.33
362,End,Register,1353.0,1,22.55
365,End,Register,1323.0,1,22.05
367,End,Register,1411.0,1,23.52
371,End,Register,1508.0,1,25.13
372,End,Register,1227.0,1,20.45
373,End,Register,1413.0,1,23.55
377,End,Register,1181.0,1,19.68
383,End,Register,1276.0,1,21.27
384,End,Register,1272.0,1,21.2
392,End,Register,1359.0,1,22.65
396,End,Register,1408.0,1,23.47
400,End,Register,1197.0,1,19.95
402,End,Register,1316.0,1,21.93
405,End,Register,1275.0,1,21.25
406,End,Register,1135.0,1,18.92
409,End,Register,1314.0,1,21.9
411,End,Register,1264.0,1,21.07
413,End,Register,1304.0,1,21.73
414,End,Register,1282.0,1,21.37
415,End,Register,1369.0,1,22.82
416,End,Register,1461.0,1,24.35
417,End,Register,1539.0,1,25.65
418,End,Register,1199.0,1,19.98
421,End,Register,1344.0,1,22.4
422,End,Register,1400.0,1,23.33
423,End,Register,1223.0,1,20.38
427,End,Register,1389.0,1,23.15
428,End,Register,1393.0,1,23.22
430,End,Register,1225.0,1,20.42
433,End,Register,1146.0,1,19.1
441,End,Register,1396.0,1,23.27
442,End,Register,1319.0,1,21.98
443,End,Register,1080.0,1,18.0
444,End,Register,1382.0,1,23.03
448,End,Register,1208.0,1,20.13
451,End,Register,1488.0,1,24.8
452,End,Register,1299.0,1,21.65
455,End,Register,1201.0,1,20.02
456,End,Register,1330.0,1,22.17
457,End,Register,1258.0,1,20.97
459,End,Register,1441.0,1,24.02
460,End,Register,1148.0,1,19.13
462,End,Register,1279.0,1,21.32
464,End,Register,1215.0,1,20.25
468,End,Register,1308.0,1,21.8
469,End,Register,1299.0,1,21.65
470,End,Register,1323.0,1,22.05
472,End,Register,1078.0,1,17.97
474,End,Register,1208.0,1,20.13
475,End,Register,1283.0,1,21.38
478,End,Register,1435.0,1,23.92
479,End,Register,1291.0,1,21.52
480,End,Register,1375.0,1,22.92
483,End,Register,1199.0,1,19.98
488,End,Register,1433.0,1,23.88
490,End,Register,1157.0,1,19.28
491,End,Register,1050.0,1,17.5
492,End,Register,1190.0,1,19.83
494,End,Register,1292.0,1,21.53
495,End,Register,1282.0,1,21.37
498,End,Register,1049.0,1,17.48
500,End,Register,1313.0,1,21.88
501,End,Register,1023.0,1,17.05
502,End,Register,1387.0,1,23.12
503,End,Register,1073.0,1,17.88
504,End,Register,1245.0,1,20.75
505,End,Register,1259.0,1,20.98
506,End,Register,1301.0,1,21.68
507,End,Register,1196.0,1,19.93
508,End,Register,1204.0,1,20.07
510,End,Register,1286.0,1,21.43
512,End,Register,1314.0,1,21.9
513,End,Register,1519.0,1,25.32
514,End,Register,1253.0,1,20.88
517,End,Register,1159.0,1,19.32
518,End,Register,1254.0,1,20.9
520,End,Register,1094.0,1,18.23
521,End,Register,1247.0,1,20.78
522,End,Register,1100.0,1,18.33
523,End,Register,1251.0,1,20.85
525,End,Register,1433.0,1,23.88
526,End,Register,1328.0,1,22.13
527,End,Register,1346.0,1,22.43
528,End,Register,1285.0,1,21.42
530,End,Register,1156.0,1,19.27
531,End,Register,1285.0,1,21.42
532,End,Register,1339.0,1,22.32
533,End,Register,1398.0,1,23.3
537,End,Register,1464.0,1,24.4
540,End,Register,1063.0,1,17.72
541,End,Register,1273.0,1,21.22
542,End,Register,1374.0,1,22.9
543,End,Register,1148.0,1,19.13
544,End,Register,1304.0,1,21.73
546,End,Register,1022.0,1,17.03
547,End,Register,1256.0,1,20.93
549,End,Register,1177.0,1,19.62
550,End,Register,1158.0,1,19.3
551,End,Register,1277.0,1,21.28
555,End,Register,1288.0,1,21.47
559,End,Register,1337.0,1,22.28
562,End,Register,1466.0,1,24.43
564,End,Register,1279.0,1,21.32
566,End,Register,1092.0,1,18.2
567,End,Register,1289.0,1,21.48
569,End,Register,1336.0,1,22.27
570,End,Register,1181.0,1,19.68
572,End,Register,1198.0,1,19.97
574,End,Register,1184.0,1,19.73
575,End,Register,1120.0,1,18.67
578,End,Register,1187.0,1,19.78
580,End,Register,1177.0,1,19.62
582,End,Register,1179.0,1,19.65
583,End,Register,1127.0,1,18.78
584,End,Register,1336.0,1,22.27
585,End,Register,1438.0,1,23.97
591,End,Register,1490.0,1,24.83
593,End,Register,1120.0,1,18.67
596,End,Register,1499.0,1,24.98
597,End,Register,1238.0,1,20.63
598,End,Register,1250.0,1,20.83
599,End,Register,1408.0,1,23.47
600,End,Register,1195.0,1,19.92
602,End,Register,1137.0,1,18.95
603,End,Register,1326.0,1,22.1
604,End,Register,1212.0,1,20.2
605,End,Register,1053.0,1,17.55
607,End,Register,1037.0,1,17.28
609,End,Register,1397.0,1,23.28
614,End,Register,1215.0,1,20.25
618,End,Register,1176.0,1,19.6
619,End,Register,1106.0,1,18.43
621,End,Register,1156.0,1,19.27
622,End,Register,1271.0,1,21.18
623,End,Register,1217.0,1,20.28
624,End,Register,1176.0,1,19.6
625,End,Register,1284.0,1,21.4
626,End,Register,1315.0,1,21.92
628,End,Register,1247.0,1,20.78
631,End,Register,1081.0,1,18.02
632,End,Register,1299.0,1,21.65
633,End,Register,1158.0,1,19.3
638,End,Register,1198.0,1,19.97
639,End,Register,1246.0,1,20.77
645,End,Register,1276.0,1,21.27
647,End,Register,1185.0,1,19.75
648,End,Register,1251.0,1,20.85
649,End,Register,1258.0,1,20.97
652,End,Register,1346.0,1,22.43
654,End,Register,1279.0,1,21.32
655,End,Register,1223.0,1,20.38
657,End,Register,1240.0,1,20.67
662,End,Register,959.0,1,15.98
665,End,Register,1111.0,1,18.52
667,End,Register,1498.0,1,24.97
668,End,Register,1143.0,1,19.05
671,End,Register,1261.0,1,21.02
672,End,Register,1051.0,1,17.52
673,End,Register,1660.0,1,27.67
674,End,Register,1089.0,1,18.15
675,End,Register,1103.0,1,18.38
676,End,Register,1338.0,1,22.3
679,End,Register,1478.0,1,24.63
685,End,Register,1085.0,1,18.08
686,End,Register,1486.0,1,24.77
688,End,Register,1337.0,1,22.28
689,End,Register,1216.0,1,20.27
692,End,Register,1162.0,1,19.37
694,End,Register,1368.0,1,22.8
695,End,Register,1323.0,1,22.05
700,End,Register,1095.0,1,18.25
701,End,Register,1335.0,1,22.25
702,End,Register,1381.0,1,23.02
703,End,Register,1365.0,1,22.75
704,End,Register,1110.0,1,18.5
705,End,Register,1156.0,1,19.27
710,End,Register,1219.0,1,20.32
711,End,Register,1270.0,1,21.17
715,End,Register,1190.0,1,19.83
717,End,Register,1172.0,1,19.53
718,End,Register,1297.0,1,21.62
721,End,Register,1281.0,1,21.35
722,End,Register,1192.0,1,19.87
726,End,Register,1322.0,1,22.03
728,End,Register,1121.0,1,18.68
730,End,Register,1342.0,1,22.37
732,End,Register,1228.0,1,20.47
733,End,Register,1335.0,1,22.25
734,End,Register,1326.0,1,22.1
735,End,Register,1507.0,1,25.12
736,End,Register,1129.0,1,18.82
737,End,Register,1184.0,1,19.73
739,End,Register,1198.0,1,19.97
741,End,Register,1342.0,1,22.37
744,End,Register,1173.0,1,19.55
746,End,Register,1432.0,1,23.87
753,End,Register,1351.0,1,22.52
754,End,Register,1406.0,1,23.43
755,End,Register,1170.0,1,19.5
757,End,Register,1094.0,1,18.23
758,End,Register,1382.0,1,23.03
759,End,Register,1152.0,1,19.2
761,End,Register,1344.0,1,22.4
